,Name,Position,Fantasy Points PG
0,Lamar Jackson,QB,25.5
1,Josh Allen,QB,24.6
2,Ja'Marr Chase,WR,24.0
3,Jalen Hurts,QB,22.2
4,Saquon Barkley,RB,22.1
5,Joe Burrow,QB,21.5
6,Baker Mayfield,QB,20.5
7,Jayden Daniels,QB,20.4
8,Alvin Kamara,RB,18.9
9,Jahmyr Gibbs,RB,18.9
10,Jared Goff,QB,18.9
11,Amon-Ra St. Brown,WR,18.8
12,Bo Nix,QB,17.5
13,Bijan Robinson,RB,18.7
14,Derrick Henry,RB,18.6
15,Justin Jefferson,WR,18.2
16,Sam Darnold,QB,18.0
17,Josh Jacobs,RB,17.9
18,CeeDee Lamb,WR,17.6
19,De'Von Achane,RB,17.5
20,Kyren Williams,RB,16.9
21,Patrick Mahomes,QB,16.7
22,Kyler Murray,QB,16.6
23,Justin Herbert,QB,15.5
24,Terry McLaurin,WR,16.4
25,Chase Brown,RB,16.3
26,James Conner,RB,16.0
27,Joe Mixon,RB,20.2
28,David Montgomery,RB,15.8
29,James Cook,RB,16.8
30,Aaron Rodgers,QB,15.6
31,Jaxon Smith-Njigba,WR,15.5
32,Brock Purdy,QB,16.6
33,Brian Thomas Jr.,WR,15.3
34,Caleb Williams,QB,15.3
35,Garrett Wilson,WR,15.3
36,Brock Bowers,TE,15.2
37,Drake London,WR,15.1
38,Geno Smith,QB,15.0
39,Chuba Hubbard,RB,14.9
40,Malik Nabers,WR,17.2
41,Jordan Love,QB,17.1
42,Aaron Jones,RB,14.7
43,Jerry Jeudy,WR,14.5
44,Courtland Sutton,WR,13.5
45,Breece Hall,RB,15.6
46,Matthew Stafford,QB,14.2
47,Trey McBride,TE,15.0
48,Ladd McConkey,WR,13.9
49,George Kittle,TE,16.2
50,C.J. Stroud,QB,13.7
51,Davante Adams,WR,17.4
52,DJ Moore,WR,13.6
53,Bucky Irving,RB,13.3
54,Tony Pollard,RB,13.3
55,Zay Flowers,WR,13.3
56,Rachaad White,RB,14.2
57,Tyreek Hill,WR,13.1
58,D'Andre Swift,RB,13.0
59,Mike Evans,WR,16.4
60,A.J. Brown,WR,16.4
61,Jonnu Smith,TE,12.8
62,Jayden Reed,WR,12.8
63,Jordan Addison,WR,14.8
64,Kirk Cousins,QB,12.6
65,Jauan Jennings,WR,14.6
66,Najee Harris,RB,12.5
67,Darnell Mooney,WR,12.5
68,Nico Collins,WR,19.3
69,Khalil Shakir,WR,13.3
70,Puka Nacua,WR,18.9
71,Tua Tagovailoa,QB,16.9
72,Jakobi Meyers,WR,14.0
73,Kenneth Walker III,RB,16.7
74,J.K. Dobbins,RB,15.1
75,Chris Boswell,K,11.9
76,Cooper Kupp,WR,16.6
77,Travis Kelce,TE,11.8
78,Zach Charbonnet,RB,11.7
79,Rico Dowdle,RB,12.6
80,Rhamondre Stevenson,RB,12.6
81,DeVonta Smith,WR,14.4
82,Calvin Ridley,WR,11.3
83,Ka'imi Fairbairn,K,11.1
84,Marvin Harrison Jr.,WR,11.1
85,George Pickens,WR,13.0
86,DK Metcalf,WR,12.9
87,Jonathan Taylor,RB,14.0
88,Tee Higgins,WR,17.0
89,Zack Baun,LB,10.9
90,Jameson Williams,WR,12.7
91,Derek Carr,QB,15.1
92,Drake Maye,QB,15.0
93,T.J. Watt,LB,10.6
94,Tyrone Tracy Jr.,RB,10.5
95,Zaire Franklin,LB,10.5
96,Brian Robinson Jr.,RB,13.3
97,Rashod Bateman,WR,10.4
98,Trevor Lawrence,QB,14.5
99,Javonte Williams,RB,9.7
